list_number,trial_number,response_ID,question_ID,vocab_size,questionNumber,questionType,questionText
V8,1,why9_free,why9,0,9,why,Why are eggs egg-shaped?
V8,2,how11_free,how11,0,11,how,How are Nobel Prize laureates selected?
V8,3,explain8_free,explain8,0,8,explain,Explain machine learning in simple terms.
V8,4,ELI510_free,ELI510,0,10,ELI5,"If ants love sugar, and bees make honey, why aren't bee hives constantly attacked by ants?"
V8,5,how15_4000,how15,4000,15,how,How do you make a paper airplane?
V8,6,explain12_4000,explain12,4000,12,explain,Explain sorting algorithms in simple terms.
V8,7,why13_4000,why13,4000,13,why,Why are there so many countries in the world?
V8,8,ELI514_4000,ELI514,4000,14,ELI5,"If bacteria die, where do their corpses go?"
V8,9,why17_1000,why17,1000,17,why,Why do fridges hum?
V8,10,explain16_1000,explain16,1000,16,explain,Explain cryptocurrency in simple terms.
V8,11,ELI518_1000,ELI518,1000,18,ELI5,Why do bad smells like smoke and rotting food linger longer than good smells like flowers or perfume?
V8,12,how19_1000,how19,1000,19,how,How do you rescue a cat from a tree?
V8,13,why21_250,why21,250,21,why,Why does Saturn have rings?
V8,14,explain20_250,explain20,250,20,explain,Explain how the Fed creates money in simple terms.
V8,15,how23_250,how23,250,23,how,How do I disable my smoke alarm?
V8,16,ELI522_250,ELI522,250,22,ELI5,Why is the letter W called 'double U' when it is clearly 'double V'?
